Property,Model,Coefficient,Clustered_SE,CI_lower,CI_upper,p_value,SSE,RMSE,R_squared,Adjusted_R_squared,Spearman_rho,N
omega,Linear,1.0696824875797986,1.0900224631026194,-1.069678155326978,3.209043130486575,0.32669611892716505,13926142.234774522,108.17874344539212,0.0008833412389783746,4.233395045905031e-05,0.027640571368596017,1190
omega,Quadratic,0.25793779761665897,0.3144509232516225,-0.3592274004430139,0.8751029956763319,0.4122796575511625,13917063.780024702,108.1434768252468,0.001534665577293981,-0.00014766860033477158,0.027640571368596017,1190
eccentricity,Linear,-0.003544910946935046,0.0012264293846513798,-0.005950340634913311,-0.0011394812589567813,0.003894794836947349,76.70334478961603,0.18305612083962883,0.003931259035234946,0.003495723949548446,-0.002674491834189511,2289
eccentricity,Quadratic,-0.00034213073387764415,0.00028867846773895423,-0.0009083237534429268,0.0002240622856876385,0.23611516801805388,76.65703132128988,0.18300084786546775,0.004532685194835517,0.0036617601600102967,-0.002674491834189511,2289
inclination,Linear,-0.0356651581334498,0.11391647616448002,-0.25912272309077705,0.18779240682387746,0.7542633786081228,395373.48159065406,14.730910205155952,6.771937029304009e-05,-0.00048169397071218256,-0.015316102359786404,1822
inclination,Quadratic,-0.024730547019977733,0.027596605845726478,-0.07886380808108484,0.029402714041129374,0.3703234136871438,395147.44504243386,14.72669874398051,0.0006393845215778571,-0.00045941769445123626,-0.015316102359786404,1822
radius,Linear,-0.013415585822356585,0.003235339800283165,-0.019759738310641563,-0.0070714333340716065,3.48477828551183e-05,515.9995989788426,0.4112477910581734,0.008242163008690517,0.007916889857824239,-0.11655643498009076,3051
radius,Quadratic,0.005049757883203499,0.0007516812730152757,0.0035757919590740754,0.006523723807332923,2.263413542108075e-11,504.186467505217,0.4065130468528959,0.03094715297682671,0.030311291528648754,-0.11655643498009076,3051
mass,Linear,-0.09662726445004349,0.012016130714086892,-0.12019948811130798,-0.073055040788779,1.9180525677422324e-15,2176.3134839368868,1.1436261187474261,0.07271034578875113,0.07215240977538695,-0.3336085791527656,1664
mass,Quadratic,0.023550816905821514,0.002717647746414025,0.018219566602768297,0.02888206720887473,1.2545520258544832e-17,2028.990685317565,1.1042397220588358,0.13548205032371508,0.134441089517362,-0.3336085791527656,1664
angular_distance,Linear,-0.0865585720640036,0.021580982498889636,-0.1289683482090843,-0.044148795918922894,7.060965586194673e-05,1042.7650639519488,1.370713672173949,0.03724425786215013,0.03550328906985745,-0.18993289711497027,555
angular_distance,Quadratic,0.021115151919849893,0.005974810808435453,0.009373777823096263,0.03285652601660352,0.000450761214826793,1010.6640514841032,1.349450372922386,0.06688222249123865,0.06350136097852577,-0.18993289711497027,555
k,Linear,-0.05744065692714965,0.01085124853029328,-0.07873398005584396,-0.03614733379845533,1.4694118619724354e-07,1048.814459926994,0.8840423599202577,0.03694047613244689,0.03622177499523227,-0.21971500088640072,1342
k,Quadratic,0.0076830089097154105,0.003233305841447477,0.0013383172492457,0.014027700570185122,0.017675404358196128,1039.9045913192967,0.880279301005601,0.04512184104197403,0.04369558539005758,-0.21971500088640072,1342
orbital_period,Linear,-0.034917400365703365,0.0072693447928247005,-0.04917081067572467,-0.020663990055682056,1.636754599756605e-06,3747.8413874673865,0.9941603473650742,0.010019996326062541,0.009758787881821385,-0.05263600637270936,3792
orbital_period,Quadratic,0.0010369805175269309,0.001748321513107383,-0.0023910511126076003,0.004465012147661462,0.5531394534747736,3747.247555602937,0.9940815836957089,0.010176855064352619,0.00965438309552935,-0.05263600637270936,3792
semi_major_axis,Linear,-0.07606136698118282,0.00877647812858395,-0.09327283974036912,-0.05884989422199652,8.721730816484017e-18,3911.6535884419327,1.1911372614001312,0.04566223399859992,0.04531583190567745,-0.20921536767190602,2757
semi_major_axis,Quadratic,0.017957635001288632,0.0021599503159317394,0.013721775755792719,0.022193494246784545,1.6391666939235045e-16,3728.796943157052,1.1629632306898374,0.09027431388095786,0.0896136561568337,-0.20921536767190602,2757
temp_calculated,Linear,-0.013269459743036179,0.002142402912133753,-0.017472803722754,-0.009066115763318356,8.099935149277466e-10,96.28810424375041,0.253277127458517,0.031854790128982624,0.031208929415259434,-0.17844949343293448,1501
temp_calculated,Quadratic,0.0008036656642919229,0.0004970773322886913,-0.00017158833685621564,0.0017789196654400615,0.10619263819106263,96.07814875352229,0.25300084232706166,0.03396582350893074,0.03267605825326847,-0.17844949343293448,1501
