name,star_name,star_age,star_age_error_min,star_age_error_max,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
109 Psc b,109 Psc,6.9,0.6,0.6,Confirmed,6.8,0.3,0.9,6.383,0.078,0.078,1.152,,,1075.4,0.7,0.8,2.051,0.087,0.079,0.104,0.008,0.009,86.116,20.53,19.957,0.066339,2000,2026-04-03,112.816,5.448,5.254,2451492.0,17.0,17.0,,,,,,,,,,,,,,,,,,,114.583,1.196,1.067,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,Theoretical,HD 10697 b,,26.2326,20.08315,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,G5 IV,5600.0,80.0,80.0,,,HD 10697
11 UMi b,11 UMi,1.56,0.54,0.54,Confirmed,,1.1,1.1,11.0873,1.1,1.1,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,2023-03-03,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,189.7,7.15,7.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,229.275,71.8238889,5.02,,,,,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,K4III,4340.0,70.0,70.0,,,
14 Her b,14 Her,5.1,,,Confirmed,8.9,1.7,1.3,4.95,,,,,,1767.56,0.22,0.22,2.839,0.041,0.039,0.3683,0.0029,0.0029,146.7,9.74,4.584,0.153039,2002,2025-06-12,22.3,0.4,0.4,2451368.0,5.0,5.0,,,,,,,,,,,,,,,,,,,90.38,0.15,0.15,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,HD 145675 b,,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5311.0,87.0,87.0,,,
14 Her c,14 Her,5.1,,,Confirmed,7.9,1.2,1.6,7.12,,,,,,52160.0,1028.0,1028.0,20.0,4.9,12.0,0.52,0.12,0.16,116.3,9.167,24.64,0.381215,2006,2025-06-12,172.5,4.584,4.011,2451779.0,33.0,33.0,,,,,,,,,,,,,,,,,,,50.8,0.4,0.4,,,,,,,,,,Submitted to a professional journal,"Radial Velocity, Astrometry, Imaging",Astrometry,,HD 145675 c,,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5311.0,87.0,87.0,,,
16 Cyg Bb,16 Cyg B,8.0,1.8,1.8,Confirmed,,0.08,0.08,1.64,0.08,0.08,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,2024-07-28,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,50.5,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,5766.0,60.0,60.0,,,"HD 186427, GJ 765.1 B"
1RXS 1609 b,1RXS 1609,0.011,0.002,0.002,Confirmed,6.6,0.3,0.3,,,,1.7,,,,,,305.0,51.0,74.0,0.25,0.15,0.2,,,,2.22,2008,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929.1-210524"
1RXS J125608.8-692652 (AB)b,1RXS J125608.8-692652,0.003,,,Confirmed,44.5,5.8,5.8,,,,,,,,,,503.0,,,,,,,,,,2024,2024-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,"Imaging, Astrometry",Astrometry,,2MASS J12560830-6926539 (AB)b,,194.03461754608,-69.44835024525,11.831,10.048,8.91,8.25,7.99,98.6,,,,,,0.7,,,1.831,,,K7Ve,3971.38,,,,,2MASS J12560830-6926539
1RXS J235133.3+312720 Ab,1RXS J235133.3+312720 A,0.1,0.05,0.05,Confirmed,32.0,6.0,6.0,,,,,,,,,,120.0,20.0,20.0,,,,,,,,2012,2024-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,357.890308282,31.4563946913,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,,,,,,2MASS J23513366+3127229
1SWASP J1407 b,1SWASP J1407,0.016,,,Confirmed,,6.0,6.0,20.0,6.0,6.0,,,,3725.0,900.0,900.0,3.9,1.7,1.7,,,,,,,,2012,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,211.950000016,-39.761944469,12.4,,,,,133.0,12.0,12.0,,,,0.9,,,0.99,0.11,0.11,,4400.0,100.0,100.0,,,
23 Lib b,23 Lib,9.7,3.7,3.7,Confirmed,1.8,0.2,1.2,1.59,0.02,0.02,,,,258.19,0.07,0.07,0.81,0.02,0.02,0.233,0.002,0.002,,,,0.036486,1999,2026-04-09,252.7,0.5,0.5,10071.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,HD 134987 b,,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,5740.0,23.0,23.0,,,HD 134987
