property,non_empty_count,min,median,max,less_than_zero_count,equal_zero_count
name,4033,,,,0,0
star_name,4033,,,,0,0
star_age,4033,2e-05,4.07,15.0,0,0
star_age_error_min,3568,0.0,1.8,12.0,0,28
star_age_error_max,3568,0.0,2.0,26.0,0,22
planet_status,4033,,,,0,0
mass,1664,6e-05,0.8485,77.12,0,0
mass_error_min,2046,0.0,0.07,53.5,0,10
mass_error_max,2046,-17.8,0.07,inf,1,57
mass_sini,862,0.00047,1.26,70.0,0,0
mass_sini_error_min,726,0.0,0.07,32.0,0,1
mass_sini_error_max,726,0.0,0.07,30.0,0,7
radius,3051,0.026,0.241,13.7,0,0
radius_error_min,2722,0.0,0.02,4.28,0,3
radius_error_max,2722,0.0,0.026,9.64,0,9
orbital_period,3792,0.015667,10.913235,12811500.0,0,0
orbital_period_error_min,3409,0.0,6e-05,143000178000.0,0,3
orbital_period_error_max,3409,0.0,6e-05,143000178000.0,0,2
semi_major_axis,2757,0.00131,0.109,65694.0,0,0
semi_major_axis_error_min,1921,0.0,0.0022,5000.0,0,4
semi_major_axis_error_max,1921,0.0,0.0022,5000.0,0,4
eccentricity,2289,0.0,0.055,0.97,0,794
eccentricity_error_min,1464,0.0,0.04,0.78,0,42
eccentricity_error_max,1464,0.0,0.04,14.0,0,154
inclination,1822,0.4,88.3,177.3,0,0
inclination_error_min,1348,0.0,0.47,175.3,0,9
inclination_error_max,1348,0.0,0.47,175.3,0,6
angular_distance,555,5e-06,0.016827,594.0,0,0
discovered,4033,1988.0,2016.0,2026.0,0,0
updated,4033,,,,0,0
omega,1190,0.0,156.0,359.997,0,17
omega_error_min,1115,-110.0,23.0,122116.0,4,4
omega_error_max,1115,-16.0,22.0,122116.0,1,4
tperi,572,2.343230566,2454186.465,2470981.0,0,0
tperi_error_min,526,6e-07,11.0,10740.0,0,0
tperi_error_max,526,6e-07,11.0,15757.0,0,0
tconj,1639,5023.377,2454974.93758,2460060.0,0,0
tconj_error_min,1599,5e-06,0.0027,4500.0,0,0
tconj_error_max,1599,5e-06,0.0027,4600.0,0,0
tzero_tr,1350,25.5433704,2456928.544845,24588256.8928,0,0
tzero_tr_error_min,1321,0.0,0.001,2455008.757,0,1
tzero_tr_error_max,1321,0.0,0.001,2455008.757,0,1
tzero_tr_sec,44,2454717.65,2458506.146135,2460558.48,0,0
tzero_tr_sec_error_min,44,0.0001,0.0056500000000000005,1.7,0,0
tzero_tr_sec_error_max,44,0.0001,0.0055,1.3,0,0
lambda_angle,137,0.0,74.0,359.7,0,1
lambda_angle_error_min,138,0.035,7.85,60.0,0,0
lambda_angle_error_max,138,0.052,8.0,160.0,0,0
impact_parameter,1485,-0.629,0.45,8.3,3,5
impact_parameter_error_min,1465,-0.4,0.11,2.7,1,2
impact_parameter_error_max,1465,0.0,0.088,71.8,0,10
tzero_vr,31,346.0,53323.206,2459090.99481,0,0
tzero_vr_error_min,31,0.0001,0.1,489.0,0,0
tzero_vr_error_max,31,0.0001,0.1,131.0,0,0
k,1342,0.05,37.903999999999996,48900.0,0,0
k_error_min,1315,0.0,2.2,7100.0,0,1
k_error_max,1315,0.0,2.1,7100.0,0,25
temp_calculated,1501,107.0,924.0,5970.0,0,0
temp_calculated_error_min,887,1.6,20.0,2030.0,0,0
temp_calculated_error_max,887,1.6,21.0,2030.0,0,0
temp_measured,61,35.0,1362.0,3435.0,0,0
hot_point_lon,1,800.0,800.0,800.0,0,0
geometric_albedo,13,0.07,0.18,0.6,0,0
geometric_albedo_error_min,11,0.016,0.03,0.25,0,0
geometric_albedo_error_max,11,0.016,0.03,0.29,0,0
log_g,38,2.5,4.25,95.0,0,0
publication,4033,,,,0,0
detection_type,4033,,,,0,0
mass_measurement_type,1720,,,,0,0
radius_measurement_type,1533,,,,0,0
alternate_names,2809,,,,0,0
molecules,107,,,,0,0
ra,4033,0.0655833333333333,285.10406,359.975,0,0
dec,4033,-88.121111117,39.417606,85.736111128,1181,0
mag_v,2519,0.85,11.5,24.1,0,0
mag_i,337,0.017,13.97,17.4,0,0
mag_j,2278,2.01,12.912500000000001,18.8,0,0
mag_h,2271,1.54,12.529,19.0,0,0
mag_k,1988,1.46,12.5625,18.35,0,0
star_distance,3979,1.82823,341.0,10400.0,0,0
star_distance_error_min,2475,0.0,2.597,1500.0,0,2
star_distance_error_max,2475,0.0,2.6,1500.0,0,2
star_metallicity,3702,-1.49,0.02,18.3,1463,171
star_metallicity_error_min,3523,0.0,0.095,4500.0,0,9
star_metallicity_error_max,3523,0.0,0.094,4500.0,0,7
star_mass,4017,0.011,0.985,23.47,0,0
star_mass_error_min,3411,-0.13,0.05,3.45,1,5
star_mass_error_max,3411,-0.13,0.05,3.45,1,5
star_radius,3813,1.43e-05,1.0,91.4,0,0
star_radius_error_min,3282,-0.18,0.05,9.5,1,0
star_radius_error_max,3282,-0.18,0.054,104.53,1,0
star_sp_type,2675,,,,0,0
star_teff,3928,1300.0,5590.594999999999,42065.0,0,0
star_teff_error_min,3703,0.0,87.84,7000.0,0,1
star_teff_error_max,3703,0.0,86.0,2557.0,0,2
star_detected_disc,106,,,,0,0
star_magnetic_field,4,,,,0,0
star_alternate_names,2945,4173026.0,4173026.0,4173026.0,0,0
